paper_reference,paper_year,power_watts,time_minutes,temperature_celsius,antenna_type_raw,antenna_category,data_source,length_mm,width_mm,diameter_mm,depth_mm,volume_mm3,aspect_ratio,energy_joules,power_time_product,log_power,log_time,log_energy,sqrt_time,effective_diameter_mm,estimated_volume_mm3,sphericity_index,has_temperature
Internally cooled antenna for microwave ablation: Results in ex vivo and in vivo porcine livers(2008,2008.0,50.0,10.0,,cooled antenna :ex vivo,Cooled Antenna,Experimental,,26.4,,36.4,,,30000.0,500.0,3.9318256327243257,2.3978952727983707,10.308985993422082,3.1622776601683795,26.4,,,0
Internally cooled antenna for microwave ablation: Results in ex vivo and in vivo porcine livers(2008,2008.0,60.0,10.0,,cooled antenna :ex vivo,Cooled Antenna,Experimental,,28.9,,41.5,,,36000.0,600.0,4.110873864173311,2.3978952727983707,10.491301994830229,3.1622776601683795,28.9,,,0
Internally cooled antenna for microwave ablation: Results in ex vivo and in vivo porcine livers(2008,2008.0,70.0,10.0,,cooled antenna :ex vivo,Cooled Antenna,Experimental,,31.5,,45.9,,,42000.0,700.0,4.2626798770413155,2.3978952727983707,10.645448706505872,3.1622776601683795,31.5,,,0
Internally cooled antenna for microwave ablation: Results in ex vivo and in vivo porcine livers(2008,2008.0,80.0,10.0,,cooled antenna :ex vivo,Cooled Antenna,Experimental,,32.6,,50.3,,,48000.0,800.0,4.394449154672439,2.3978952727983707,10.778977123006351,3.1622776601683795,32.6,,,0
Internally cooled antenna for microwave ablation: Results in ex vivo and in vivo porcine livers(2008,2008.0,50.0,10.0,,cooled antenna :in vivo,Cooled Antenna,Experimental,,23.2,,32.3,,,30000.0,500.0,3.9318256327243257,2.3978952727983707,10.308985993422082,3.1622776601683795,23.2,,,0
Internally cooled antenna for microwave ablation: Results in ex vivo and in vivo porcine livers(2008,2008.0,60.0,10.0,,cooled antenna :in vivo,Cooled Antenna,Experimental,,23.5,,40.2,,,36000.0,600.0,4.110873864173311,2.3978952727983707,10.491301994830229,3.1622776601683795,23.5,,,0
Internally cooled antenna for microwave ablation: Results in ex vivo and in vivo porcine livers(2008,2008.0,70.0,10.0,,cooled antenna :in vivo,Cooled Antenna,Experimental,,23.7,,44.2,,,42000.0,700.0,4.2626798770413155,2.3978952727983707,10.645448706505872,3.1622776601683795,23.7,,,0
Internally cooled antenna for microwave ablation: Results in ex vivo and in vivo porcine livers(2008,2008.0,80.0,10.0,,cooled antenna :in vivo,Cooled Antenna,Experimental,,23.7,,49.2,,,48000.0,800.0,4.394449154672439,2.3978952727983707,10.778977123006351,3.1622776601683795,23.7,,,0
An Optimal Sliding Choke Antenna for Hepatic Microwave Ablation(2009)      Antenna type:Sliding Chok,2009.0,100.0,1.1,,Sliding Choke antenna,Sliding Choke,Experimental,,14.9,,22.5,,,6600.000000000001,110.00000000000001,4.61512051684126,0.7419373447293773,8.79497643168877,1.0488088481701516,14.9,,,0
Finite-Element Analysis and In Vitro Experiments of Placement Configurations Using Triple Antennas i,2009.0,50.0,1.0,,Triple antenna : IN VITRO,Multi Slot/Triple,Experimental,,30.1,,39.0,,,3000.0,50.0,3.9318256327243257,0.6931471805599453,8.006700845440367,1.0,30.1,,,0
Finite-Element Analysis and In Vitro Experiments of Placement Configurations Using Triple Antennas i,2009.0,50.0,1.0,,Triple antenna : IN VITRO,Multi Slot/Triple,Experimental,,20.1,,18.2,,,3000.0,50.0,3.9318256327243257,0.6931471805599453,8.006700845440367,1.0,20.1,,,0
Finite-Element Analysis and In Vitro Experiments of Placement Configurations Using Triple Antennas i,2009.0,50.0,1.0,,Triple antenna : IN VITRO,Multi Slot/Triple,Experimental,,27.4,,29.4,,,3000.0,50.0,3.9318256327243257,0.6931471805599453,8.006700845440367,1.0,27.4,,,0
Finite-Element Analysis and In Vitro Experiments of Placement Configurations Using Triple Antennas i,2009.0,50.0,1.0,,Triple antenna : IN VITRO,Multi Slot/Triple,Experimental,,43.7,,79.1,,,3000.0,50.0,3.9318256327243257,0.6931471805599453,8.006700845440367,1.0,43.7,,,0
"Microwave Tumor Ablation: Mechanism of Action, Clinical Results and Devices (2010)  Antenna type:Tri",2010.0,68.0,2.0,,Triaxial Antenna :IN VIVO,Triaxial,Experimental,,,23.0,,,,8160.0,136.0,4.23410650459726,1.0986122886681098,9.007121989469242,1.4142135623730951,23.0,,,0
"Microwave Tumor Ablation: Mechanism of Action, Clinical Results and Devices (2010)  Antenna type:Tri",2010.0,68.0,6.0,,Triaxial Antenna :IN VIVO,Triaxial,Experimental,,,60.0,,,,24480.0,408.0,4.23410650459726,1.9459101490553132,10.10565258546514,2.449489742783178,60.0,,,0
"Microwave Tumor Ablation: Mechanism of Action, Clinical Results and Devices (2010)  Antenna type:Tri",2010.0,68.0,12.0,,Triaxial Antenna :IN VIVO,Triaxial,Experimental,,,80.0,,,,48960.0,816.0,4.23410650459726,2.5649493574615367,10.798779341814225,3.4641016151377544,80.0,,,0
"Microwave Tumor Ablation: Mechanism of Action, Clinical Results and Devices (2010)  Antenna type:Mon",2010.0,100.0,2.0,,Monopole antenna :IN VIVO,Monopole,Experimental,,,,,33500.0,,12000.0,200.0,4.61512051684126,1.0986122886681098,9.392745258631441,1.4142135623730951,,33500.0,,0
"Microwave Tumor Ablation: Mechanism of Action, Clinical Results and Devices (2010)  Antenna type:Mon",2010.0,100.0,4.0,,Monopole antenna :IN VIVO,Monopole,Experimental,,,,,37500.0,,24000.0,400.0,4.61512051684126,1.6094379124341003,10.085850775128717,2.0,,37500.0,,0
"Microwave Tumor Ablation: Mechanism of Action, Clinical Results and Devices (2010)  Antenna type:Mon",2010.0,100.0,8.0,,Monopole antenna :IN VIVO,Monopole,Experimental,,,,,92000.0,,48000.0,800.0,4.61512051684126,2.1972245773362196,10.778977123006351,2.8284271247461903,,92000.0,,0
"Microwave Tumor Ablation: Mechanism of Action, Clinical Results and Devices (2010)  Antenna type:Coo",2010.0,80.0,10.0,,Cooled coaxial antenna :EX VIVO,Cooled Antenna,Experimental,,,50.3,,,,48000.0,800.0,4.394449154672439,2.3978952727983707,10.778977123006351,3.1622776601683795,50.3,,,0
"Microwave Tumor Ablation: Mechanism of Action, Clinical Results and Devices (2010)  Antenna type:Coo",2010.0,80.0,10.0,,Cooled coaxial antenna :EX VIVO,Cooled Antenna,Experimental,,,49.2,,,,48000.0,800.0,4.394449154672439,2.3978952727983707,10.778977123006351,3.1622776601683795,49.2,,,0
"Microwave Tumor Ablation: Mechanism of Action, Clinical Results and Devices (2010) Antenna type :Mul",2010.0,125.0,10.0,,Multiples Antenna : CLINICAL,Other,Experimental,,,30.0,,,,75000.0,1250.0,4.836281906951478,2.3978952727983707,11.225256725762893,3.1622776601683795,30.0,,,0
"Microwave Tumor Ablation: Mechanism of Action, Clinical Results and Devices (2010)  Antenna type:Lun",2010.0,55.0,10.0,,Lung Antenna: CLINICAL,Other,Experimental,,,34.0,,,,33000.0,550.0,4.02535169073515,2.3978952727983707,10.404293143019792,3.1622776601683795,34.0,,,0
"Microwave Tumor Ablation: Mechanism of Action, Clinical Results and Devices (2010) Antenna type:Mult",2010.0,90.0,5.0,,Multiple triaxial antenna : IN VIVO,Triaxial,Experimental,,,65.0,,,,27000.0,450.0,4.51085950651685,1.791759469228055,10.203629181337648,2.23606797749979,65.0,,,0
