paper_reference,paper_year,power_watts,time_minutes,temperature_celsius,antenna_type_raw,antenna_category,data_source,length_mm,width_mm,diameter_mm,depth_mm,volume_mm3,aspect_ratio,energy_joules,power_time_product,log_power,log_time,log_energy,sqrt_time,effective_diameter_mm,estimated_volume_mm3,sphericity_index,has_temperature
Heating characteristics of antenna arrays used in microwave ablation: A theoretical parametric study,2013,100.0,10.0,,Other,Other,Simulated,18.0,24.0,,,,,60000.0,1000.0,4.61512051684126,2.3978952727983707,11.002116507732017,3.1622776601683795,24.0,5428.672105403162,1.0,0
Heating characteristics of antenna arrays used in microwave ablation: A theoretical parametric study,2013,100.0,11.0,,Other,Other,Simulated,43.0,54.0,,,,,66000.0,1100.0,4.61512051684126,2.4849066497880004,11.097425172408931,3.3166247903554,54.0,65653.0032747195,1.0,0
Antenna design and tissue parameters considerations for an improved modelling of microwave ablation ,2013,50.0,0.33,76.0,Other,Other,Simulated,14.5,5.0,,,,,990.0,16.5,3.9318256327243257,0.2851789422336624,6.898714534329988,0.5744562646538028,5.0,189.8045561543833,0.3448275862068966,1
Antenna design and tissue parameters considerations for an improved modelling of microwave ablation ,2013,50.0,0.67,90.0,Other,Other,Simulated,19.0,8.0,,,,,2010.0,33.5,3.9318256327243257,0.5128236264286637,7.606387389772652,0.8185352771872451,8.0,636.6961111275314,0.42105263157894735,1
Antenna design and tissue parameters considerations for an improved modelling of microwave ablation ,2013,50.0,1.0,98.0,Other,Other,Simulated,20.0,10.0,,,,,3000.0,50.0,3.9318256327243257,0.6931471805599453,8.006700845440367,1.0,10.0,1047.1975511965975,0.5,1
Antenna design and tissue parameters considerations for an improved modelling of microwave ablation ,2013,50.0,1.33,,Other,Other,Simulated,20.0,11.0,,,,,3990.0,66.5,3.9318256327243257,0.8458682675776092,8.291797105048733,1.1532562594670797,11.0,1267.1090369478832,0.55,0
Antenna design and tissue parameters considerations for an improved modelling of microwave ablation ,2013,50.0,1.67,,Other,Other,Simulated,20.5,12.0,,,,,5010.0,83.5,3.9318256327243257,0.9820784724121582,8.519390774959724,1.2922847983320085,12.0,1545.663585566178,0.5853658536585366,0
Antenna design and tissue parameters considerations for an improved modelling of microwave ablation ,2013,50.0,2.0,106.0,Other,Other,Simulated,21.0,13.0,,,,,6000.0,100.0,3.9318256327243257,1.0986122886681098,8.699681400989514,1.4142135623730951,13.0,1858.2520545983625,0.6190476190476191,1
Antenna design and tissue parameters considerations for an improved modelling of microwave ablation ,2013,50.0,3.0,,Other,Other,Simulated,21.0,13.0,,,,,9000.0,150.0,3.9318256327243257,1.3862943611198906,9.105090961257085,1.7320508075688772,13.0,1858.2520545983625,0.6190476190476191,0
Antenna design and tissue parameters considerations for an improved modelling of microwave ablation ,2013,50.0,4.0,,Other,Other,Simulated,21.0,13.0,,,,,12000.0,200.0,3.9318256327243257,1.6094379124341003,9.392745258631441,2.0,13.0,1858.2520545983625,0.6190476190476191,0
Antenna design and tissue parameters considerations for an improved modelling of microwave ablation ,2013,50.0,6.0,,Other,Other,Simulated,21.0,13.0,,,,,18000.0,300.0,3.9318256327243257,1.9459101490553132,9.798182590890704,2.449489742783178,13.0,1858.2520545983625,0.6190476190476191,0
Antenna design and tissue parameters considerations for an improved modelling of microwave ablation ,2013,50.0,8.0,,Other,Other,Simulated,21.0,13.0,,,,,24000.0,400.0,3.9318256327243257,2.1972245773362196,10.085850775128717,2.8284271247461903,13.0,1858.2520545983625,0.6190476190476191,0
Antenna design and tissue parameters considerations for an improved modelling of microwave ablation ,2013,50.0,10.0,,Other,Other,Simulated,21.0,13.0,,,,,30000.0,500.0,3.9318256327243257,2.3978952727983707,10.308985993422082,3.1622776601683795,13.0,1858.2520545983625,0.6190476190476191,0
Antenna design and tissue parameters considerations for an improved modelling of microwave ablation ,2013,75.0,0.33,,Other,Other,Simulated,20.0,7.0,,,,,1485.0,24.75,4.330733340286331,0.2851789422336624,7.303843225277705,0.5744562646538028,7.0,513.1268000863328,0.35,0
Antenna design and tissue parameters considerations for an improved modelling of microwave ablation ,2013,75.0,0.67,,Other,Other,Simulated,21.0,11.0,,,,,3015.0,50.25,4.330733340286331,0.5128236264286637,8.011686729127847,0.8185352771872451,11.0,1330.4644887952775,0.5238095238095238,0
Antenna design and tissue parameters considerations for an improved modelling of microwave ablation ,2013,75.0,1.0,,Other,Other,Simulated,22.0,13.0,,,,,4500.0,75.0,4.330733340286331,0.6931471805599453,8.412054873292933,1.0,13.0,1946.740247674475,0.5909090909090909,0
Antenna design and tissue parameters considerations for an improved modelling of microwave ablation ,2013,75.0,1.33,,Other,Other,Simulated,22.5,15.0,,,,,5985.0,99.75,4.330733340286331,0.8458682675776092,8.697178688412643,1.1532562594670797,15.0,2650.718801466388,0.6666666666666666,0
Antenna design and tissue parameters considerations for an improved modelling of microwave ablation ,2013,75.0,1.67,,Other,Other,Simulated,22.5,15.0,,,,,7515.0,125.25,4.330733340286331,0.9820784724121582,8.924789360533357,1.2922847983320085,15.0,2650.718801466388,0.6666666666666666,0
Antenna design and tissue parameters considerations for an improved modelling of microwave ablation ,2013,75.0,2.0,,Other,Other,Simulated,23.0,16.0,,,,,9000.0,150.0,4.330733340286331,1.0986122886681098,9.105090961257085,1.4142135623730951,16.0,3082.9495907227833,0.6956521739130435,0
Antenna design and tissue parameters considerations for an improved modelling of microwave ablation ,2013,75.0,3.0,,Other,Other,Simulated,23.0,17.0,,,,,13500.0,225.0,4.330733340286331,1.3862943611198906,9.510519035757246,1.7320508075688772,17.0,3480.361061401892,0.7391304347826086,0
Antenna design and tissue parameters considerations for an improved modelling of microwave ablation ,2013,75.0,4.0,,Other,Other,Simulated,23.0,17.0,,,,,18000.0,300.0,4.330733340286331,1.6094379124341003,9.798182590890704,2.0,17.0,3480.361061401892,0.7391304347826086,0
