PAPERS & REFERENCES,INPUT POWER,TIME,OUTPUT TEMPERATURE,ABLATION ZONE PARAMETERS
"Dual-slot antennas for microwave tissue heating: Parametric design analysis and experimental validation-2011

Antenna type: Dual slot antenna 
Antenna dimanesions: G1=1mm, G2=3mm, L=7mm                                                                                     ",50W,10 minutes,NA,"20.1mm, 31.2mm,0.64"
"Dual-slot antennas for microwave tissue heating: Parametric design analysis and experimental validation- 2011

Antenna type: Dual slot antenna 
Antenna dimanesions: G1=1mm, G2=5mm, L=8mm                                                                                     ",50W,10 minutes,NA,"18.9mm, 29.1mm, 0.65"
"Dual-slot antennas for microwave tissue heating: Parametric design analysis and experimental validation- 2011

Antenna type: Dual slot antenna 
Antenna dimanesions: G1=1mm, G2=7mm, L=7mm                                                                                     ",50W,10 minutes,NA,"20.4mm, 25.3mm, 0.80"
"Dual-slot antennas for microwave tissue heating: Parametric design analysis and experimental validation- 2011

Antenna type: Dual slot antenna 
Antenna dimanesions: G1=2mm, G2=3mm, L=7mm                                                                                     ",50W,10 minutes,NA,"20.8mm, 33.1mm, 0.63"
"Dual-slot antennas for microwave tissue heating: Parametric design analysis and experimental validation - 2011

Antenna type: Dual slot antenna 
Antenna dimanesions: G1=1mm, G2=2mm, L=8mm                                                                                     ",50W,10 minutes,NA,"18.9mm, 31.7mm, 0.60"
"A Minimally Invasive Antenna for Microwave Ablation Therapies: Design, Performances, and Experimental Assessment- 2011",40W,3.33 minutes,NA,"Length: 32.307mm
Diameter: 27.69mm"
"A Minimally Invasive Antenna for Microwave Ablation Therapies: Design, Performances, and Experimental Assessment- 2011",40W,6.67 minutes,NA,"Length: 41.53mm
Diameter:35.38mm"
"A Minimally Invasive Antenna for Microwave Ablation Therapies: Design, Performances, and Experimental Assessment- 2011",40W,10 minutes,NA,"Length: 46.15mm
Diameter: 41.53mm"
"A Minimally Invasive Antenna for Microwave Ablation Therapies: Design, Performances, and Experimental Assessment- 2011",40W,13.33 minutes,NA,"Length: 51.53mm
Diameter: 46.15mm"
Heating characteristics of antenna arrays used in microwave ablation: A theoretical parametric study- 2013,100W,10 minutes,NA,"Width: 24mm
Length: 18mm"
Heating characteristics of antenna arrays used in microwave ablation: A theoretical parametric study- 2013,100W,11 minutes,NA,"Width: 54mm
Length: 43mm"
Antenna design and tissue parameters considerations for an improved modelling of microwave ablation in the liver - 2013,50W,0.33 minutes,76°C,"Width: 5mm
Length:14.5mm"
Antenna design and tissue parameters considerations for an improved modelling of microwave ablation in the liver - 2013,50W,0.67 minutes,90°C,"Width: 8mm
Length:19mm"
Antenna design and tissue parameters considerations for an improved modelling of microwave ablation in the liver - 2013,50W,1 minute,98°C,"Width: 10mm
Length:20mm"
Antenna design and tissue parameters considerations for an improved modelling of microwave ablation in the liver - 2013,50W,1.33 minutes,NA,"Width: 11mm
Length:20mm"
Antenna design and tissue parameters considerations for an improved modelling of microwave ablation in the liver - 2013,50W,1.67 minutes,NA,"Width: 12mm
Length:20.5mm"
Antenna design and tissue parameters considerations for an improved modelling of microwave ablation in the liver - 2013,50W,2 minutes,106°C,"Width: 13mm
Length:21mm"
Antenna design and tissue parameters considerations for an improved modelling of microwave ablation in the liver - 2013,50W,3 minutes,NA,"Width: 13mm
Length:21mm"
Antenna design and tissue parameters considerations for an improved modelling of microwave ablation in the liver - 2013,50W,4 minutes,NA,"Width: 13mm
Length:21mm"
Antenna design and tissue parameters considerations for an improved modelling of microwave ablation in the liver - 2013,50W,6 minutes,NA,"Width: 13mm
Length:21mm"
Antenna design and tissue parameters considerations for an improved modelling of microwave ablation in the liver - 2013,50W,8 minutes,NA,"Width: 13mm
Length:21mm"
Antenna design and tissue parameters considerations for an improved modelling of microwave ablation in the liver - 2013,50W,10 minutes,NA,"Width: 13mm
Length:21mm"
Antenna design and tissue parameters considerations for an improved modelling of microwave ablation in the liver - 2013,75W,0.33 minutes,NA,"Width: 7mm
Length:20mm"
Antenna design and tissue parameters considerations for an improved modelling of microwave ablation in the liver - 2013,75W,0.67 minutes,NA,"Width: 11mm
Length:21mm"
Antenna design and tissue parameters considerations for an improved modelling of microwave ablation in the liver - 2013,75W,1 minute,NA,"Width: 13mm
Length:22mm"
Antenna design and tissue parameters considerations for an improved modelling of microwave ablation in the liver - 2013,75W,1.33 minutes,NA,"Width: 15mm
Length:22.5mm"
Antenna design and tissue parameters considerations for an improved modelling of microwave ablation in the liver - 2013,75W,1.67 minutes,NA,"Width: 15mm
Length: 22.5mm"
Antenna design and tissue parameters considerations for an improved modelling of microwave ablation in the liver - 2013,75W,2 minutes,NA,"Width: 16mm
Length:23mm"
Antenna design and tissue parameters considerations for an improved modelling of microwave ablation in the liver - 2013,75W,3 minutes,NA,"Width: 17mm
Length:23mm"
Antenna design and tissue parameters considerations for an improved modelling of microwave ablation in the liver - 2013,75W,4 minutes,NA,"Width: 17mm
Length:23mm"
Antenna design and tissue parameters considerations for an improved modelling of microwave ablation in the liver - 2013,75W,6 minutes,NA,"Width: 17mm
Length:23.5mm"
Antenna design and tissue parameters considerations for an improved modelling of microwave ablation in the liver - 2013,75W,8 minutes,NA,"Width: 17mm
Length:23.5mm"
Antenna design and tissue parameters considerations for an improved modelling of microwave ablation in the liver - 2013,75W,10 minutes,NA,"Width: 17mm
Length:23.5mm"
Antenna design and tissue parameters considerations for an improved modelling of microwave ablation in the liver - 2013,100W,0.33 minutes,NA,"Width: 9mm
Length: 21mm"
Antenna design and tissue parameters considerations for an improved modelling of microwave ablation in the liver - 2013,100W,0.67 minutes,NA,"Width: 14mm
Length:22.5mm"
Antenna design and tissue parameters considerations for an improved modelling of microwave ablation in the liver - 2013,100W,1 minute,NA,"Width: 16mm
Length:23mm"
Antenna design and tissue parameters considerations for an improved modelling of microwave ablation in the liver - 2013,100W,1.33 minutes,NA,"Width:  17mm
Length:23.5mm"
Antenna design and tissue parameters considerations for an improved modelling of microwave ablation in the liver - 2013,100W,1.67 minutes,NA,"Width: 18mm
Length:24mm"
Antenna design and tissue parameters considerations for an improved modelling of microwave ablation in the liver - 2013,100W,2 minutes,NA,"Width: 19mm
Length:24.5mm"
Antenna design and tissue parameters considerations for an improved modelling of microwave ablation in the liver - 2013,100W,3 minutes,NA,"Width: 20mm
Length:24.5mm"
Antenna design and tissue parameters considerations for an improved modelling of microwave ablation in the liver - 2013,100W,4 minutes,NA,"Width: 20mm
Length:24.5mm"
Antenna design and tissue parameters considerations for an improved modelling of microwave ablation in the liver - 2013,100W,6 minutes,NA,"Width: 20mm
Length:24.5mm"
Antenna design and tissue parameters considerations for an improved modelling of microwave ablation in the liver - 2013,100W,8 minutes,NA,"Width: 20mm
Length:24.5mm"
Antenna design and tissue parameters considerations for an improved modelling of microwave ablation in the liver - 2013,100W,10 minutes,NA,"Width: 20mm
Length:24.5mm"
"Optimization of dual slot antenna using floating metallic sleeve
for microwave ablation-2014",120W,3 minutes,NA,"Length: 42.26mm
Width: 16.98mm"
A Directional Interstitial Antenna for Microwave Tissue Ablation: Theoretical and Experimental Investigation- 2015,50W,10 minutes,NA,"Width: 30.5mm
Diameter: 26mm"
A Directional Interstitial Antenna for Microwave Tissue Ablation: Theoretical and Experimental Investigation- 2015,80W,10 minutes,NA,"Width: 46.5mm
Diameter: 34.5mm"
"Microwave ablation at 915 MHz vs 2.45 GHz: A theoretical
and experimental investigation- 2015",30W,5 minutes,NA,"Diameter: 28.1mm
Height: 58.8mm"
"Microwave ablation at 915 MHz vs 2.45 GHz: A theoretical
and experimental investigation- 2015",30W,10 minutes,NA,"Diameter: 36mm
Height: 75.1mm"
Analysis of minimally invasive directional antennas for microwave tissue ablation- 2016,77W,10 minutes,92.5°C,"Width: 45mm
Height: 44.3mm"
Experimental measurement of microwave ablation heating pattern and comparison to computer simulations- 2016,15W,6 minutes,100°C,"Width: 12.8mm
Length: 21mm"
"The impact of frequency on the performance of
microwave ablation- 2016",25W,5 minutes,100°C,"Lateral diameter: 37mm
Longitudinal Diameter: 45mm"
A Hybrid Slot/Monopole Antenna With Directional Heating Patterns for Microwave Ablation- 2017,20W,5 minutes,NA,"Width: 16mm
Length:16mm"
A Minimally Invasive Coax-Fed Microwave Ablation Antenna With a Tapered Balun- 2017,20W,5 minutes,NA,Diameter: 24mm
"Analysis of microwave ablation antenna optimization techniques- 2017

Antenna type: Monopole
Γ based optimisation",50W,5 minutes,NA,"Diameter: 25.6mm
Length: 72mm"
"Analysis of microwave ablation antenna optimization techniques- 2017

Antenna type: Monopole
SAR based optimisation",50W,5 minutes,NA,"Diameter: 25.2mm
Length: 74.2mm"
"Analysis of microwave ablation antenna optimisation techniques- 2017

Antenna type: Monopole
Temperature based optimisation",50W,5 minutes,NA,"Diameter: 25.6mm
Length: 55mm"
"Analysis of microwave ablation antenna optimization techniques- 2017

Antenna type: Dual slot
Γ based optimisation",50W,5 minutes,NA,"Diameter: 26mm
Length: 50.4mm"
"Analysis of microwave ablation antenna optimization techniques- 2017

Antenna type: Dual slot
SAR based optimisation",50W,5 minutes,NA,"Diameter: 25.4mm 
Length: 73mm"
"Analysis of microwave ablation antenna optimisation techniques- 2017

Antenna type: Dual slot
Temperature based optimisation",50W,5 minutes,NA,"Diameter: 25.2mm
Length: 51mm"
"Analysis of efficiency of different antennas for microwave ablation using simulation and experimental methods- 2018

Antenna Type: Monopole",50W,10 minutes,195°C,"Diameter: 37.7mm
Length: 55.1mm"
"Analysis of efficiency of different antennas for microwave ablation using
simulation and experimental methods- 2018

Antenna Type: Single slot",50W,10 minutes,205°C,"Diameter: 41.4mm
Length: 58.6mm"
